Temporada,Jornada,Local,Resultado,Visitante,Local_gol,Visitante_gol
2021-22,1,Borussia Mönchengladbach,1 - 1,Bayern de Múnich,10,42
2021-22,1,Wolfsburgo,1 - 0,Bochum,22,-
2021-22,1,Unión Berlín,1 - 1,Bayer Leverkusen,7,12
2021-22,1,Stuttgart,5 - 1,Greuther Fürth,30.36.55.61.76,90
2021-22,1,Augsburgo,0 - 4,1899 Hoffenheim,-,37.78.87.90
2021-22,1,Arminia Bielefeld,0 - 0,Friburgo,-,-
2021-22,1,Borussia Dortmund,5 - 2,Eintracht Frankfurt,23.32.34.58.70,27.86
2021-22,1,Mainz 05,1 - 0,RB Leipzig,12,-
2021-22,1,Colonia,3 - 1,Hertha BSC,41.52.55,5
2021-22,2,RB Leipzig,4 - 0,Stuttgart,38.46.52.65,-
2021-22,2,Eintracht Frankfurt,0 - 0,Augsburgo,-,-
2021-22,2,Friburgo,2 - 1,Borussia Dortmund,6.53,59
2021-22,2,Hertha BSC,1 - 2,Wolfsburgo,60,73.88
2021-22,2,Bochum,2 - 0,Mainz 05,21.56,-
2021-22,2,Greuther Fürth,1 - 1,Arminia Bielefeld,50,45
2021-22,2,Bayer Leverkusen,4 - 0,Borussia Mönchengladbach,3.8.55.87,-
2021-22,2,1899 Hoffenheim,2 - 2,Unión Berlín,14.30,10.47
2021-22,2,Bayern de Múnich,3 - 2,Colonia,50.59.71,60.62
2021-22,3,Borussia Dortmund,3 - 2,1899 Hoffenheim,49.69.90,61.90
2021-22,3,Stuttgart,2 - 3,Friburgo,45.45,3.9.28
2021-22,3,Mainz 05,3 - 0,Greuther Fürth,15.18.90,-
2021-22,3,Augsburgo,1 - 4,Bayer Leverkusen,30,3..14.75.81
2021-22,3,Arminia Bielefeld,1 - 1,Eintracht Frankfurt,86,22
2021-22,3,Colonia,2 - 1,Bochum,82.90,90
2021-22,3,Bayern de Múnich,5 - 0,Hertha BSC,6.35.49.70.84,-
2021-22,3,Unión Berlín,2 - 1,Borussia Mönchengladbach,22.41,90
2021-22,3,Wolfsburgo,1 - 0,RB Leipzig,52,-
2021-22,4,Bayer Leverkusen,3 - 4,Borussia Dortmund,9.45.55,37.49.71.77
2021-22,4,Unión Berlín,0 - 0,Augsburgo,-,-
2021-22,4,Friburgo,1 - 1,Colonia,89,33
2021-22,4,1899 Hoffenheim,0 - 2,Mainz 05,-,21.77
2021-22,4,Greuther Fürth,0 - 2,Wolfsburgo,-,10.90
2021-22,4,RB Leipzig,1 - 4,Bayern de Múnich,58,12.47.54.90
2021-22,4,Eintracht Frankfurt,1 - 1,Stuttgart,79,88
2021-22,4,Bochum,1 - 3,Hertha BSC,59,37.43.78
2021-22,4,Borussia Mönchengladbach,3 - 1,Arminia Bielefeld,35.69.72,45
2021-22,5,Hertha BSC,2 - 1,Greuther Fürth,61.79,57
2021-22,5,Bayern de Múnich,7 - 0,Bochum,17.27.32.43.61.65.79,-
2021-22,5,Mainz 05,0 - 0,Friburgo,-,-
2021-22,5,Augsburgo,1 - 0,Borussia Mönchengladbach,80,-
2021-22,5,Arminia Bielefeld,0 - 0,1899 Hoffenheim,-,-
2021-22,5,Colonia,1 - 1,RB Leipzig,53,71
2021-22,5,Stuttgart,1 - 3,Bayer Leverkusen,38,2.19.70
2021-22,5,Borussia Dortmund,4 - 2,Unión Berlín,10.24.52.83,57.81
2021-22,5,Wolfsburgo,1 - 1,Eintracht Frankfurt,70,38
2021-22,6,Greuther Fürth,1 - 3,Bayern de Múnich,87,10.31.68
2021-22,6,RB Leipzig,6 - 0,Hertha BSC,16.23.45.60.70.77,-
2021-22,6,Eintracht Frankfurt,1 - 1,Colonia,45,14
2021-22,6,Bayer Leverkusen,1 - 0,Mainz 05,62,-
2021-22,6,Unión Berlín,1 - 0,Arminia Bielefeld,88,-
2021-22,6,1899 Hoffenheim,3 - 1,Wolfsburgo,45.73.81,25
2021-22,6,Borussia Mönchengladbach,1 - 0,Borussia Dortmund,37,-
2021-22,6,Bochum,0 - 0,Stuttgart,-,-
2021-22,6,Friburgo,3 - 0,Augsburgo,6.25.33,-
2021-22,7,Colonia,3 - 1,Greuther Fürth,50.55.89,7
2021-22,7,Borussia Dortmund,2 - 1,Augsburgo,10.51,35
2021-22,7,Wolfsburgo,1 - 3,Borussia Mönchengladbach,24,5.7.90
2021-22,7,Stuttgart,3 - 1,1899 Hoffenheim,18.60.81,84
2021-22,7,Hertha BSC,1 - 2,Friburgo,70,17.78
2021-22,7,RB Leipzig,3 - 0,Bochum,69.73.78,-
2021-22,7,Mainz 05,1 - 2,Unión Berlín,39,69.73
2021-22,7,Bayern de Múnich,1 - 2,Eintracht Frankfurt,29,32.83
2021-22,7,Arminia Bielefeld,0 - 4,Bayer Leverkusen,-,18.24.57.90
2021-22,8,1899 Hoffenheim,5 - 0,Colonia,31.49.51.74.87,-
2021-22,8,Borussia Dortmund,3 - 1,Mainz 05,3.54.90,87
2021-22,8,Eintracht Frankfurt,1 - 2,Hertha BSC,78,7.63
2021-22,8,Unión Berlín,2 - 0,Wolfsburgo,49.82,-
2021-22,8,Friburgo,1 - 1,RB Leipzig,63,32
2021-22,8,Greuther Fürth,0 - 1,Bochum,-,80
2021-22,8,Borussia Mönchengladbach,1 - 1,Stuttgart,42,15
2021-22,8,Bayer Leverkusen,1 - 5,Bayern de Múnich,55,3.30.34.35.37
2021-22,8,Augsburgo,1 - 1,Arminia Bielefeld,19,77
2021-22,9,Mainz 05,4 - 1,Augsburgo,10.15.26.71,69
2021-22,9,Bayern de Múnich,4 - 0,1899 Hoffenheim,16.30.82.87,-
2021-22,9,RB Leipzig,4 - 1,Greuther Fürth,46.53.65.88,45
2021-22,9,Wolfsburgo,0 - 2,Friburgo,-,27.68
2021-22,9,Arminia Bielefeld,1 - 3,Borussia Dortmund,87,31.45.72
2021-22,9,Hertha BSC,1 - 0,Borussia Mönchengladbach,40,-
2021-22,9,Colonia,2 - 2,Bayer Leverkusen,63.82,15.17
2021-22,9,Stuttgart,1 - 1,Unión Berlín,90,31
2021-22,9,Bochum,2 - 0,Eintracht Frankfurt,3.90,-
2021-22,10,1899 Hoffenheim,2 - 0,Hertha BSC,19.36,-
2021-22,10,Borussia Dortmund,2 - 0,Colonia,40.63,-
2021-22,10,Bayer Leverkusen,0 - 2,Wolfsburgo,-,48.51
2021-22,10,Unión Berlín,2 - 5,Bayern de Múnich,43.65,15.23.35.60.79
2021-22,10,Friburgo,3 - 1,Greuther Fürth,20.39.79,74
2021-22,10,Arminia Bielefeld,1 - 2,Mainz 05,42,25.68
2021-22,10,Eintracht Frankfurt,1 - 1,RB Leipzig,90,35
2021-22,10,Augsburgo,4 - 1,Stuttgart,30.52.72.81,7
2021-22,10,Borussia Mönchengladbach,2 - 1,Bochum,12.40,86
2021-22,11,Mainz 05,1 - 1,Borussia Mönchengladbach,76,38
2021-22,11,Bayern de Múnich,2 - 1,Friburgo,30.75,90
2021-22,11,Wolfsburgo,1 - 0,Augsburgo,14,-
2021-22,11,Stuttgart,0 - 1,Arminia Bielefeld,-,19
