Temporada,Jornada,Local,Resultado,Visitante,Local_gol,Visitante_gol
2021-22,1,AS Mónaco,1 - 1,Nantes,-,-
2021-22,1,Olympique Lyon,1 - 1,Brest,62,43
2021-22,1,Troyes,1 - 2,Paris Saint-Germain,9,19.21
2021-22,1,Rennes,1 - 1,Lens,14,19
2021-22,1,Girondins de Burdeos,0 - 2,Clermont Foot,-,82.90
2021-22,1,Niza,0 - 0,Reims,-,-
2021-22,1,Saint-Étienne,1 - 1,Lorient,70,52
2021-22,1,Estrasburgo,0 - 2,Angers,-,57.81
2021-22,1,Metz,3 - 3,Lille,31.41.52,23.81.90
2021-22,1,Montpellier,2 - 3,Olympique de Marsella,30.34,68.75.80
2021-22,2,Lorient,1 - 0,AS Mónaco,31,-
2021-22,2,Lille,0 - 4,Niza,-,1.5.45.64
2021-22,2,Paris Saint-Germain,4 - 2,Estrasburgo,3.25.27.86,53.64
2021-22,2,Angers,3 - 0,Olympique Lyon,20.53.77,-
2021-22,2,Brest,1 - 1,Rennes,90,84
2021-22,2,Clermont Foot,2 - 0,Troyes,53.65,-
2021-22,2,Nantes,2 - 0,Metz,12.49,-
2021-22,2,Reims,3 - 3,Montpellier,7.26.82,5.38.43
2021-22,2,Lens,2 - 2,Saint-Étienne,36.77,1.52
2021-22,2,Olympique de Marsella,2 - 2,Girondins de Burdeos,34.41,51.57
2021-22,3,Brest,2 - 4,Paris Saint-Germain,42.85,23.36.73.90
2021-22,3,AS Mónaco,0 - 2,Lens,-,51.90
2021-22,3,Saint-Étienne,1 - 1,Lille,85,38
2021-22,3,Olympique Lyon,3 - 3,Clermont Foot,5.21.45,12.80.90
2021-22,3,Girondins de Burdeos,1 - 1,Angers,10,38
2021-22,3,Metz,1 - 1,Reims,14,7
2021-22,3,Montpellier,3 - 1,Lorient,50.58.83,21
2021-22,3,Estrasburgo,1 - 1,Troyes,77,19
2021-22,3,Rennes,1 - 0,Nantes,58,-
2021-22,3,Niza,1 - 1,Olympique de Marsella,6,42
2021-22,4,Nantes,0 - 1,Olympique Lyon,-,35
2021-22,4,Niza,4 - 0,Girondins de Burdeos,7.33.42.85,-
2021-22,4,Olympique de Marsella,3 - 1,Saint-Étienne,23.51.68,32
2021-22,4,Troyes,1 - 2,AS Mónaco,51,40.58
2021-22,4,Angers,2 - 0,Rennes,57.88,-
2021-22,4,Clermont Foot,2 - 2,Metz,35.58,10.29
2021-22,4,Lens,2 - 2,Lorient,24.70,27.35
2021-22,4,Estrasburgo,3 - 1,Brest,24.42.84,26
2021-22,4,Lille,2 - 1,Montpellier,45.56,45
2021-22,4,Reims,0 - 2,Paris Saint-Germain,-,16.63
2021-22,5,Lorient,2 - 1,Lille,7.87,25
2021-22,5,Paris Saint-Germain,4 - 0,Clermont Foot,20.31.55.65,-
2021-22,5,AS Mónaco,0 - 2,Olympique de Marsella,-,37.60
2021-22,5,Montpellier,2 - 0,Saint-Étienne,32.62,-
2021-22,5,Girondins de Burdeos,2 - 3,Lens,60.88,39.43.90
2021-22,5,Brest,1 - 1,Angers,62,78
2021-22,5,Metz,0 - 2,Troyes,-,50.84
2021-22,5,Rennes,0 - 2,Reims,-,26.67
2021-22,5,Nantes,0 - 2,Niza,-,75.80
2021-22,5,Olympique Lyon,3 - 1,Estrasburgo,8.64.87,90
2021-22,6,Estrasburgo,3 - 0,Metz,6.26.40,-
2021-22,6,Lens,1 - 0,Lille,74,-
2021-22,6,Saint-Étienne,1 - 2,Girondins de Burdeos,73,7.80
2021-22,6,Niza,2 - 2,AS Mónaco,51.73,39.77
2021-22,6,Angers,1 - 4,Nantes,10,3.6.23.79
2021-22,6,Clermont Foot,1 - 1,Brest,65,52
2021-22,6,Reims,0 - 0,Lorient,-,-
2021-22,6,Troyes,1 - 1,Montpellier,37,87
2021-22,6,Olympique de Marsella,2 - 0,Rennes,48.71,-
2021-22,6,Paris Saint-Germain,2 - 1,Olympique Lyon,66.90,54
2021-22,7,Lille,2 - 1,Reims,31.43,74
2021-22,7,AS Mónaco,3 - 1,Saint-Étienne,27.62.86,41
2021-22,7,Montpellier,3 - 3,Girondins de Burdeos,11.50.71,18.29.85
2021-22,7,Nantes,3 - 1,Brest,27.55.58,67
2021-22,7,Rennes,6 - 0,Clermont Foot,32.36.55.57.64.77,-
2021-22,7,Angers,0 - 0,Olympique de Marsella,-,-
2021-22,7,Lens,0 - 1,Estrasburgo,-,67
2021-22,7,Lorient,1 - 0,Niza,23,-
2021-22,7,Olympique Lyon,3 - 1,Troyes,48.72.87,45
2021-22,7,Metz,1 - 2,Paris Saint-Germain,39,5.90
2021-22,8,Saint-Étienne,0 - 3,Niza,-,15.54.83
2021-22,8,Estrasburgo,1 - 2,Lille,75,23.57
2021-22,8,Olympique Lyon,1 - 1,Lorient,50,20
2021-22,8,Paris Saint-Germain,2 - 0,Montpellier,14.89,-
2021-22,8,Girondins de Burdeos,1 - 1,Rennes,88,56
2021-22,8,Brest,1 - 2,Metz,68,26.73
2021-22,8,Reims,3 - 1,Nantes,51.72.78,62
2021-22,8,Troyes,1 - 1,Angers,22,65
2021-22,8,Clermont Foot,1 - 3,AS Mónaco,7,25.48.90
2021-22,8,Olympique de Marsella,2 - 3,Lens,33.45,9.27.71
2021-22,9,Lens,2 - 0,Reims,45.52,-
2021-22,9,Montpellier,1 - 1,Estrasburgo,12,28
2021-22,9,Niza,2 - 1,Brest,45.61,90
2021-22,9,Rennes,2 - 0,Paris Saint-Germain,45.46,-
2021-22,9,Angers,3 - 2,Metz,53.65.90,10.58
2021-22,9,Lorient,1 - 1,Clermont Foot,54,15
2021-22,9,AS Mónaco,3 - 0,Girondins de Burdeos,35.48.64,-
2021-22,9,Nantes,2 - 0,Troyes,58.69,-
2021-22,9,Lille,2 - 0,Olympique de Marsella,28.90,-
2021-22,9,Saint-Étienne,1 - 1,Olympique Lyon,90,42
2021-22,10,Paris Saint-Germain,2 - 1,Angers,69.87,36
2021-22,10,Clermont Foot,1 - 0,Lille,32,-
2021-22,10,Olympique Lyon,2 - 0,AS Mónaco,75.90,-
2021-22,10,Troyes,1 - 0,Niza,4,-
2021-22,10,Girondins de Burdeos,1 - 1,Nantes,-.62,75
2021-22,10,Brest,1 - 1,Reims,74,12
2021-22,10,Metz,0 - 3,Rennes,-,24.37.45
2021-22,10,Estrasburgo,5 - 1,Saint-Étienne,26.38.69.73.85,45
2021-22,10,Montpellier,1 - 0,Lens,48,-
2021-22,10,Olympique de Marsella,4 - 1,Lorient,27.56.85.90,13
2021-22,11,Saint-Étienne,2 - 2,Angers,61.90,28.56
2021-22,11,Nantes,2 - 1,Clermont Foot,38.61,49
2021-22,11,Lille,1 - 1,Brest,19,32
2021-22,11,Niza,3 - 2,Olympique Lyon,80.89.90,35.68
2021-22,11,Lens,4 - 1,Metz,14.37.83.90,33
2021-22,11,Lorient,1 - 1,Girondins de Burdeos,76,46
2021-22,11,Reims,1 - 2,Troyes,6,41.66
2021-22,11,Rennes,1 - 0,Estrasburgo,82,-
2021-22,11,AS Mónaco,3 - 1,Montpellier,12.17.61,81
2021-22,11,Olympique de Marsella,0 - 0,Paris Saint-Germain,-,-
2021-22,12,Paris Saint-Germain,2 - 1,Lille,74.88,31
2021-22,12,Metz,1 - 1,Saint-Étienne,9,16
2021-22,12,Olympique Lyon,2 - 1,Lens,25.41,61
2021-22,12,Angers,1 - 2,Niza,29,57.90
2021-22,12,Girondins de Burdeos,3 - 2,Reims,73.78.90,37.63
2021-22,12,Montpellier,2 - 0,Nantes,64.71,-
2021-22,12,Estrasburgo,4 - 0,Lorient,28.39.45.64,-
2021-22,12,Troyes,2 - 2,Rennes,38.40,9.81
2021-22,12,Brest,2 - 0,AS Mónaco,18.79,-
2021-22,12,Clermont Foot,0 - 1,Olympique de Marsella,-,25
2021-22,13,Lens,4 - 0,Troyes,14.29.35.60,-
2021-22,13,Lille,1 - 1,Angers,27,83
2021-22,13,Girondins de Burdeos,2 - 3,Paris Saint-Germain,78.90,26.43.63
2021-22,13,Olympique de Marsella,0 - 0,Metz,-,-
2021-22,13,Lorient,1 - 2,Brest,5,58.80
2021-22,13,Nantes,2 - 2,Estrasburgo,20.48,44.68
2021-22,13,Reims,0 - 0,AS Mónaco,-,-
2021-22,13,Saint-Étienne,3 - 2,Clermont Foot,78.90.90,59.64
2021-22,13,Niza,0 - 1,Montpellier,-,80
2021-22,13,Rennes,4 - 1,Olympique Lyon,45.50.76.83,90
2021-22,14,AS Mónaco,2 - 2,Lille,41.83,5.9
2021-22,14,Paris Saint-Germain,3 - 1,Nantes,2.81.87,76
2021-22,14,Rennes,2 - 0,Montpellier,8.28,-
2021-22,14,Brest,4 - 0,Lens,3.13.33.69,-
2021-22,14,Angers,1 - 0,Lorient,68,-
2021-22,14,Metz,3 - 3,Girondins de Burdeos,45.51.70,17.39.65
2021-22,14,Estrasburgo,1 - 1,Reims,90,22
2021-22,14,Troyes,0 - 1,Saint-Étienne,-,60
2021-22,14,Clermont Foot,1 - 2,Niza,17,76.82
2021-22,14,Olympique Lyon,2 - 1,Olympique de Marsella,76.89,10
2021-22,15,Lens,2 - 2,Angers,48.55,40.70
2021-22,15,Lille,1 - 1,Nantes,9,24
2021-22,15,Niza,0 - 1,Metz,-,31
2021-22,15,Saint-Étienne,1 - 3,Paris Saint-Germain,23,45.79.90
2021-22,15,Girondins de Burdeos,1 - 2,Brest,43,59.66
2021-22,15,Lorient,0 - 2,Rennes,-,75.78
2021-22,15,AS Mónaco,1 - 1,Estrasburgo,45,48
2021-22,15,Reims,1 - 0,Clermont Foot,90,-
2021-22,15,Montpellier,0 - 1,Olympique Lyon,-,17
2021-22,15,Olympique de Marsella,1 - 0,Troyes,74,-
2021-22,16,Angers,1 - 3,AS Mónaco,55,25.45.73
